quote,quote_note,person_id
"Science and everyday life cannot and should not be separated. Science, for me, gives a partial explanation of life. In so far as it goes, it is based on fact, experience and experiment.","letter to her father, summer 1940",2
"Racism is still with us. But it is up to us to prepare our children for what they have to meet, and, hopefully, we shall overcome.","Howard University, 1998",1
One half of the world cannot understand the pleasures of the other.,Emma in Emma,3
"When special interests put their thumb on the scale, and distort the free market, the people who compete by the rules come in last.","MSNBC interview, Sep. 25, 2006",4
